Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,90.006,91.092,90.53,91.451,89.412,90.479,48,83.184
2,88.262,62.249,10.641,98.97,85.946,90.109,30,75.604
3,89.055,73.156,78.009,69.191,85.725,91.685,37,78.395
4,89.416,85.556,95.169,74.051,87.736,90.719,36,82.945
5,90.413,77.216,58.809,93.032,88.986,91.536,59,84.165
6,90.26,82.097,80.315,83.695,87.086,92.754,84,84.3
7,88.745,72.346,75.416,69.877,91.071,86.909,22,82.123
8,90.473,78.947,86.989,73.212,87.299,92.992,52,83.872
9,89.831,78.932,64.932,90.883,86.355,92.564,33,83.288
10,90.21,82.502,61.937,96.484,88.964,91.201,52,83.845
11,90.152,71.132,78.994,66.298,90.566,89.818,32,83.621
12,90.465,84.408,92.706,75.246,89.916,90.892,60,84.578
13,89.051,78.229,88.005,70.592,90.637,87.802,20,82.264
14,89.725,71.912,41.917,96.741,90.921,88.782,36,83.312
15,88.508,85.767,84.118,87.153,92.178,85.604,24,82.49
16,90.473,76.673,82.048,72.313,89.22,91.461,56,84.035
17,90.138,80.035,69.665,88.678,89.747,90.445,45,83.853
18,90.008,92.742,95.548,90.946,88.992,90.818,62,84.063
19,89.704,90.172,88.158,91.604,88.641,90.552,37,83.692
20,89.741,91.28,97.059,86.559,90.073,89.479,34,83.183
21,90.596,58.048,12.337,98.418,91.022,90.26,37,87.645
22,90.623,58.537,14.422,92.556,92.118,89.438,53,88.216
23,90.165,90.596,98.855,84.962,89.412,90.764,49,84.717
,,,,,,,,
Elapsed time: 14:57:54,,,,,,,,
