FF7,Avg,Std_dev
Acc_U,78.853,0.669
Acc_L,89.827,9.833
P_0_U,79.913,9.788
R_0_U,71.59,26.572
F1_0_U,71.558,21.18
P_1_U,81.685,12.115
R_1_U,84.474,10.402
F1_1_U,81.922,6.872
P_0_L,87.977,1.7
R_0_L,89.218,1.796
F1_0_L,88.564,0.722
P_1_L,91.407,1.2
R_1_L,90.307,1.731
F1_1_L,90.834,0.661
Acc_dev,83.365,2.442
,,
Elapsed time: 14:57:54,,
