FF5,Avg,Std_dev
Acc_U,78.86,0.674
Acc_L,89.036,9.042
P_0_U,80.919,9.065
R_0_U,71.208,26.076
F1_0_U,71.664,19.323
P_1_U,81.717,12.125
R_1_U,84.756,10.473
F1_1_U,81.959,6.153
P_0_L,86.717,1.325
R_0_L,88.818,1.956
F1_0_L,87.731,0.813
P_1_L,91.016,1.319
R_1_L,89.206,1.421
F1_1_L,90.085,0.614
Acc_dev,82.639,2.245
,,
Elapsed time: 12:39:39,,
