Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,88.907,90.692,89.9,91.199,90.979,87.254,61,83.318
2,86.987,62.859,12.019,99.033,82.821,90.307,32,75.449
3,88.867,75.797,83.743,69.305,87.611,89.859,39,78.613
4,88.999,83.932,98.76,66.184,91.61,86.976,48,82.999
5,89.312,68.476,34.366,97.785,89.1,89.479,56,82.86
6,89.195,82.329,84.915,80.011,89.215,89.179,50,82.599
7,89.064,72.818,66.966,77.526,88.799,89.272,52,81.942
8,89.511,75.531,87.418,67.055,89.663,89.389,42,83.289
9,89.336,80.771,70.67,89.395,89.525,89.188,42,83.235
10,88.741,88.037,80.197,93.366,88.923,88.596,54,82.971
11,88.853,69.993,63.993,73.683,88.921,88.798,28,82.019
12,88.693,85.991,92.131,79.212,85.525,91.163,36,83.035
13,89.122,80.307,85.323,76.388,85.771,91.763,60,82.599
14,88.518,71.2,37.934,98.736,87.366,89.427,46,82.596
15,89.492,81.35,67.552,92.951,88.73,90.096,51,82.45
16,88.859,78.25,88.757,69.729,88.465,89.17,34,82.145
17,89.197,86.104,80.516,90.761,89.114,89.262,45,82.433
18,88.19,86.958,92.718,83.272,90.491,86.353,28,81.787
19,88.709,89.203,89.259,89.162,91.585,86.418,44,82.881
20,89.108,88.264,88.067,88.424,89.019,89.177,45,83.334
21,90.293,60.186,17.948,97.488,89.453,90.955,56,87.211
22,90.631,64.51,25.632,94.491,89.768,91.315,74,87.33
23,89.24,90.227,99.0,84.242,90.37,88.343,68,83.608
,,,,,,,,
Elapsed time: 12:39:39,,,,,,,,
