FF6,Avg,Std_dev
Acc_U,79.05,0.658
Acc_L,89.613,9.566
P_0_U,81.758,9.097
R_0_U,70.754,26.867
F1_0_U,71.523,20.223
P_1_U,81.626,12.402
R_1_U,85.566,10.698
F1_1_U,82.258,6.612
P_0_L,87.846,1.072
R_0_L,88.779,1.477
F1_0_L,88.298,0.778
P_1_L,91.068,1.028
R_1_L,90.272,1.034
F1_1_L,90.661,0.585
Acc_dev,83.073,2.272
,,
Elapsed time: 13:47:54,,
