Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,89.641,90.05,86.067,92.599,89.904,89.431,41,82.95
2,88.011,62.471,10.869,99.189,85.159,90.285,33,76.071
3,89.061,73.861,83.827,65.719,90.064,88.27,40,78.878
4,89.342,86.041,96.987,72.94,88.314,90.139,38,82.581
5,89.504,68.049,33.235,97.963,86.411,91.941,46,83.199
6,89.608,85.02,88.876,81.563,88.572,90.422,39,82.562
7,90.14,72.563,54.426,87.156,89.499,90.646,83,84.128
8,88.46,75.855,82.253,71.292,86.579,89.954,18,81.519
9,89.557,81.188,68.935,91.647,89.056,89.95,23,83.214
10,89.454,87.475,78.912,93.297,89.738,89.229,33,82.665
11,90.31,71.892,88.023,61.973,91.285,89.525,55,83.783
12,89.347,85.528,94.006,76.168,88.68,89.868,28,82.521
13,90.162,82.592,86.46,79.571,88.249,91.67,66,83.534
14,89.162,70.162,35.781,98.622,88.152,89.958,36,83.009
15,90.23,79.371,68.154,88.802,88.008,91.989,61,83.624
16,89.807,77.347,83.46,72.389,87.447,91.669,35,82.858
17,89.04,83.148,75.543,89.485,90.102,88.204,52,83.203
18,89.861,91.85,91.138,92.306,87.79,91.514,56,83.621
19,90.015,90.736,88.614,92.246,89.803,90.185,55,84.636
20,88.945,89.198,92.79,86.263,88.601,89.217,29,82.777
21,91.031,61.247,19.849,97.807,91.57,90.607,64,88.155
22,90.511,61.976,19.843,94.465,89.644,91.198,44,87.183
23,89.906,90.537,99.291,84.565,89.296,90.39,68,84.019
,,,,,,,,
Elapsed time: 13:47:54,,,,,,,,
