FF5,Avg,Std_dev
Acc_U,93.407,0.167
Acc_L,94.832,2.337
P_0_U,93.683,3.943
R_0_U,91.568,5.008
F1_0_U,92.464,2.712
P_1_U,93.239,4.338
R_1_U,95.206,2.91
F1_1_U,94.109,2.133
P_0_L,94.636,0.481
R_0_L,93.589,0.47
F1_0_L,94.108,0.189
P_1_L,94.988,0.355
R_1_L,95.814,0.396
F1_1_L,95.398,0.152
Acc_dev,95.745,0.498
,,
Elapsed time: 11:31:56,,
