Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,86.688,86.854,84.988,88.048,88.441,85.29,44,79.49
2,86.82,65.637,20.28,97.911,84.991,88.278,61,75.415
3,84.796,72.659,87.51,60.526,80.151,88.464,27,74.705
4,88.482,85.548,95.39,73.769,87.323,89.381,90,82.284
5,87.62,66.633,30.154,97.978,85.037,89.655,60,80.944
6,88.876,82.073,82.763,81.453,88.74,88.982,94,82.785
7,85.049,80.386,91.475,71.465,90.053,81.098,28,78.64
8,87.933,78.743,93.779,68.022,87.987,87.89,58,81.015
9,88.214,84.292,78.233,89.464,86.783,89.338,73,82.205
10,86.724,88.944,85.606,91.213,89.0,84.914,47,80.189
11,88.817,71.17,73.822,69.539,87.416,89.945,65,81.541
12,87.073,84.371,96.794,70.653,90.09,84.721,52,82.121
13,86.911,72.502,93.87,55.811,87.858,86.164,37,79.458
14,86.259,63.462,19.33,99.992,84.274,87.824,34,79.276
15,88.753,84.254,72.76,93.918,89.737,87.974,90,82.633
16,87.173,80.713,97.881,66.79,87.956,86.555,41,79.812
17,88.76,84.042,71.567,94.437,87.294,89.915,73,81.972
18,86.518,85.983,89.238,83.901,88.341,85.063,35,79.767
19,86.543,82.087,69.771,90.849,87.985,85.394,35,81.018
20,86.816,83.307,96.242,72.739,89.324,84.837,46,80.941
21,89.697,61.07,21.546,95.975,89.002,90.243,95,86.113
22,88.58,60.082,10.925,97.987,86.325,90.368,67,84.708
23,85.499,84.058,99.564,73.481,90.317,81.672,35,79.761
,,,,,,,,
Elapsed time: 11:24:53,,,,,,,,
