FF4,Avg,Std_dev
Acc_U,77.777,1.275
Acc_L,87.33,8.826
P_0_U,79.403,10.103
R_0_U,72.326,28.772
F1_0_U,70.281,20.603
P_1_U,82.974,13.128
R_1_U,81.997,13.244
F1_1_U,80.581,5.983
P_0_L,84.425,2.424
R_0_L,87.584,2.251
F1_0_L,85.93,1.327
P_1_L,89.916,1.481
R_1_L,87.129,2.592
F1_1_L,88.466,1.279
Acc_dev,80.73,2.457
,,
Elapsed time: 11:24:53,,
