FF3,Avg,Std_dev
Acc_U,78.239,0.522
Acc_L,85.744,9.859
P_0_U,79.568,12.919
R_0_U,77.106,28.118
F1_0_U,72.514,19.934
P_1_U,85.617,13.088
R_1_U,79.319,18.302
F1_1_U,79.595,11.054
P_0_L,81.954,1.488
R_0_L,86.934,2.545
F1_0_L,84.328,0.754
P_1_L,89.205,1.675
R_1_L,84.803,1.87
F1_1_L,86.915,0.493
Acc_dev,78.209,1.898
,,
Elapsed time: 11:58:36,,
