FF7,Avg,Std_dev
Acc_U,93.033,0.227
Acc_L,94.937,2.832
P_0_U,92.889,4.665
R_0_U,91.531,5.209
F1_0_U,92.045,3.366
P_1_U,93.286,4.032
R_1_U,94.467,3.695
F1_1_U,93.773,2.499
P_0_L,94.504,0.468
R_0_L,93.989,0.63
F1_0_L,94.243,0.269
P_1_L,95.281,0.464
R_1_L,95.685,0.403
F1_1_L,95.481,0.199
Acc_dev,96.47,0.66
,,
Elapsed time: 12:14:59,,
