Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,95.015,91.464,90.315,92.49,94.724,95.243,47,96.486
2,94.918,93.537,96.873,90.856,94.379,95.342,97,97.103
3,94.969,87.849,92.704,84.369,94.278,95.516,72,96.827
4,94.61,93.762,88.719,98.071,92.847,95.993,20,95.583
5,94.702,92.905,95.499,91.14,92.903,96.128,24,95.438
6,95.022,91.213,94.486,89.186,93.501,96.244,21,95.765
7,94.925,92.64,86.554,99.382,93.59,95.961,46,96.512
8,95.019,87.222,76.442,95.653,94.625,95.329,40,96.336
9,94.836,94.2,92.96,95.226,94.02,95.477,47,96.391
10,94.91,92.763,88.377,96.46,93.803,95.783,39,96.319
11,94.702,95.098,93.508,96.392,93.409,95.721,33,96.192
12,95.027,94.079,92.487,95.404,94.936,95.098,81,96.923
13,94.824,97.279,97.14,97.368,94.703,94.92,59,96.51
14,95.037,96.722,96.732,96.716,93.908,95.934,38,96.174
15,94.69,97.4,96.912,97.798,93.575,95.567,27,95.796
16,95.658,89.718,85.16,93.742,94.819,96.317,83,97.93
17,95.065,93.706,91.152,95.684,93.788,96.075,100,97.704
,,,,,,,,
Elapsed time: 12:14:59,,,,,,,,
