FF4,Avg,Std_dev
Acc_U,93.01,0.234
Acc_L,94.409,2.059
P_0_U,93.155,4.364
R_0_U,91.217,4.949
F1_0_U,91.994,2.411
P_1_U,92.966,4.347
R_1_U,94.837,3.144
F1_1_U,93.769,1.88
P_0_L,94.481,0.634
R_0_L,92.748,0.784
F1_0_L,93.602,0.281
P_1_L,94.367,0.555
R_1_L,95.719,0.559
F1_1_L,95.036,0.206
Acc_dev,95.041,0.378
,,
Elapsed time: 8:47:26,,
