Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,94.259,93.338,96.116,91.557,94.106,94.38,28,94.697
2,93.97,92.159,89.848,93.806,91.288,96.103,13,94.186
3,93.89,94.004,94.242,93.81,92.325,95.123,19,94.142
4,94.141,89.121,80.297,99.672,92.067,95.747,18,94.506
5,94.672,92.497,85.057,98.903,93.897,95.282,39,95.275
6,94.572,92.803,89.053,96.151,92.353,96.312,45,95.118
7,94.503,95.665,96.648,94.875,92.869,95.789,41,95.249
8,94.572,90.621,91.103,90.275,93.153,95.696,35,95.221
9,94.417,93.242,88.096,97.639,92.054,96.272,49,95.219
10,94.333,92.714,96.65,90.035,92.808,95.542,44,94.753
11,94.593,91.0,94.159,89.045,92.147,96.558,29,95.159
12,94.486,92.916,87.088,99.373,93.141,95.53,31,95.059
13,94.393,88.518,79.86,95.29,92.445,95.927,34,94.998
14,94.393,95.242,92.868,97.206,92.891,95.574,27,95.027
15,94.521,92.946,88.012,97.105,92.89,95.808,41,95.072
16,94.207,95.431,93.536,96.973,91.576,96.28,42,95.188
17,94.155,94.309,92.985,95.411,92.249,95.653,22,94.897
18,94.347,92.925,98.784,89.171,94.576,94.164,31,95.151
19,94.492,94.558,93.909,95.021,92.596,95.999,27,95.143
20,94.433,96.625,94.937,98.002,92.807,95.714,55,95.145
21,94.995,90.05,86.276,93.381,93.891,95.861,38,95.457
22,94.641,93.029,93.706,92.505,92.951,95.976,80,95.874
23,94.433,95.526,94.77,96.043,92.134,96.254,59,95.406
,,,,,,,,
Elapsed time: 8:47:26,,,,,,,,
