Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,94.894,96.237,98.624,94.709,93.261,96.194,45,95.915
2,94.6,91.598,89.195,93.312,92.279,96.445,29,94.647
3,93.94,93.0,92.712,93.235,90.511,96.641,13,94.086
4,95.081,88.254,79.97,98.162,93.523,96.287,74,96.656
5,95.203,90.924,81.667,98.895,93.992,96.155,47,96.199
6,94.993,92.39,90.753,93.851,94.455,95.415,53,96.331
7,94.914,93.671,97.163,90.863,94.511,95.231,72,96.564
8,94.947,86.873,91.322,83.685,94.165,95.566,79,96.659
9,95.049,93.425,89.234,97.006,93.996,95.875,57,96.34
10,94.87,92.639,96.527,89.993,93.569,95.901,39,95.426
11,94.836,90.767,95.172,88.04,92.588,96.641,19,95.664
12,94.907,92.652,86.561,99.4,93.631,95.897,64,96.459
13,95.366,89.491,83.136,94.46,94.862,95.762,86,96.66
14,94.822,94.908,94.138,95.546,93.824,95.606,57,96.407
15,95.046,92.333,87.548,96.368,93.367,96.37,77,96.638
16,94.702,95.323,93.462,96.837,93.582,95.585,55,96.378
17,95.107,94.766,93.573,95.758,94.704,95.424,63,96.512
18,94.944,98.183,97.93,98.346,93.803,95.852,78,96.512
19,94.971,96.595,95.821,97.147,92.962,96.567,34,95.961
20,94.752,97.688,97.626,97.737,93.598,95.66,45,96.01
21,95.562,91.067,86.952,94.7,94.757,96.194,38,96.755
22,95.071,94.697,93.573,95.567,93.779,96.092,50,96.753
23,94.959,97.221,98.184,96.564,94.586,95.255,64,96.396
,,,,,,,,
Elapsed time: 15:47:30,,,,,,,,
