FF6,Avg,Std_dev
Acc_U,93.248,0.293
Acc_L,94.936,2.895
P_0_U,93.287,4.678
R_0_U,91.776,5.333
F1_0_U,92.35,3.219
P_1_U,93.321,4.697
R_1_U,94.79,3.648
F1_1_U,93.928,2.688
P_0_L,94.796,0.493
R_0_L,93.665,0.938
F1_0_L,94.222,0.361
P_1_L,95.055,0.683
R_1_L,95.94,0.425
F1_1_L,95.493,0.247
Acc_dev,96.171,0.656
,,
Elapsed time: 15:47:30,,
