FF2,Avg,Std_dev
Acc_U,92.622,0.285
Acc_L,93.834,2.34
P_0_U,92.987,4.47
R_0_U,90.502,5.948
F1_0_U,91.495,2.911
P_1_U,92.49,4.816
R_1_U,94.736,3.246
F1_1_U,93.453,2.043
P_0_L,94.146,0.351
R_0_L,91.724,0.769
F1_0_L,92.916,0.353
P_1_L,93.605,0.554
R_1_L,95.499,0.299
F1_1_L,94.541,0.24
Acc_dev,94.29,0.259
,,
Elapsed time: 7:54:36,,
