FF5,Avg,Std_dev
Acc_U,93.002,0.292
Acc_L,94.378,2.031
P_0_U,93.089,4.454
R_0_U,91.292,4.918
F1_0_U,91.995,2.374
P_1_U,93.011,4.288
R_1_U,94.763,3.269
F1_1_U,93.754,1.855
P_0_L,94.551,0.364
R_0_L,92.59,0.842
F1_0_L,93.557,0.362
P_1_L,94.254,0.614
R_1_L,95.789,0.305
F1_1_L,95.013,0.243
Acc_dev,94.811,0.36
,,
Elapsed time: 16:45:46,,
