Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,94.293,93.675,96.746,91.708,92.353,95.837,57,94.549
2,94.219,92.212,90.007,93.785,91.672,96.244,55,94.305
3,93.83,93.908,93.945,93.878,91.506,95.66,46,94.009
4,94.556,90.09,82.344,99.354,94.079,94.925,59,94.651
5,94.127,92.322,84.689,98.895,92.239,95.611,47,94.527
6,94.51,92.787,90.963,94.414,93.388,95.39,72,94.947
7,94.133,95.477,97.257,94.047,92.065,95.761,54,94.745
8,94.407,90.808,91.392,90.389,92.034,96.289,78,95.032
9,94.391,92.602,86.759,97.593,92.51,95.868,65,94.848
10,94.121,92.968,97.174,90.105,92.102,95.722,58,94.381
11,94.894,89.95,96.676,85.787,93.825,95.752,94,95.157
12,94.299,92.47,85.917,99.73,92.297,95.854,54,94.805
13,94.606,88.456,80.276,94.853,93.328,95.612,61,94.781
14,94.239,95.121,91.92,97.769,92.081,95.935,62,94.809
15,94.591,92.675,87.411,97.113,93.054,95.804,85,94.984
16,94.413,95.34,93.666,96.702,92.863,95.635,96,95.162
17,94.558,94.692,92.134,96.82,92.327,96.312,93,95.143
18,94.429,94.287,96.863,92.637,93.035,95.539,68,94.892
19,93.814,93.676,91.334,95.346,90.713,96.28,35,94.489
20,94.062,96.558,95.114,97.737,91.638,95.972,54,94.367
21,95.061,90.175,86.842,93.118,94.119,95.801,88,95.508
22,94.598,93.145,93.222,93.086,93.192,95.709,100,95.395
23,94.547,95.644,97.058,94.678,93.16,95.645,100,95.163
,,,,,,,,
Elapsed time: 16:45:46,,,,,,,,
